mana,cardtype,artist,name,rarity
3UU,Creature — Beast 3/3,Kev Walker,Mawcor,Rare
1U,Instant,Tristan Elwell,Memory Lapse,Common
1U,Creature — Merfolk 1/1,Tristan Elwell,Merfolk Looter,Uncommon
U,Creature — Merfolk 1/1,Ray Lago,Merfolk of the Pearl Trident,Common
4UU,Instant,Patrick Faricy,Opportunity,Uncommon
2UU,Enchantment,Mark Brill,Opposition,Rare
3UU,Creature — Elemental 4/4,Doug Chaffee,Air Elemental,Uncommon
2UUU,Sorcery,William Donohoe,Ancestral Memories,Rare
UU,Instant,Richard Kane Ferguson,Boomerang,Common
2UU,Enchantment,Phil Foglio,Browse,Uncommon
1U,Enchantment,Greg Simanson,Chill,Uncommon
UU,Instant,Hannibal King,Counterspell,Common
1UU,Creature — Wizard 1/1,Kaja Foglio,Daring Apprentice,Rare
3U,Instant,Mike Raabe,Deflection,Rare
3UU,Instant,Richard Kane Ferguson,Desertion,Rare
BBB,Sorcery,Scott M. Fischer,Pox,Rare
2BB,Summon Rag Man 2/1,Daniel Gelon,Rag Man,Rare
B,Sorcery,David Seeley,Raise Dead,Common
2B,Summon Zombies 2/2,Tom Kyffin,Scathe Zombies,Common
3B,Summon Autocrat 2/2,David A. Cherry,Sengir Autocrat,Rare
1BB,Summon Sorceress 1/1,Kaja Foglio,Sorceress Queen,Rare
1BB,Summon Knights 2/2,Anson Maddocks,Stromgald Cabal,Rare
1B,Instant,Ron Spencer,Terror,Common
3B,Summon Ghoul 2/2,Jeff A. Menges,Scavenging Ghoul,Uncommon
3BB,Summon Vampire 4/4,Anson Maddocks,Sengir Vampire,Uncommon
1B,Instant,Mark Poole,Simulacrum,Uncommon
1BB,Summon Sorceress 1/1,Kaja Foglio,Sorceress Queen,Rare
1B,Instant,Ron Spencer,Terror,Common
B,Enchant Creature,Douglas Shuler,Unholy Strength,Common
2B,Summon Wall 1/4,Anson Maddocks,Wall of Bone,Uncommon
BB,Enchant Artifact,Amy Weber,Warp Artifact,Rare
B,Enchant Creature,Douglas Shuler,Weakness,Common
B,Summon Bats 0/1,Anson Maddocks,Vampire Bats,Common
2B,Summon Wall 1/4,Anson Maddocks,Wall of Bone,Uncommon
BB,Enchant Artifact,Amy Weber,Warp Artifact,Rare
B,Enchant Creature,Douglas Shuler,Weakness,Common
B,Summon Will-O'-The-Wisp 0/1,Jesper Myrfors,Will-O'-The-Wisp,Rare
XBB,Sorcery,Ron Spencer,Word of Binding,Common
1BB,Summon Poltergeist 1/1,Dan Frazier,Xenic Poltergeist,Rare
1BB,Summon Lord 2/3,Jeff A. Menges,Zombie Master,Rare
2B,Summon Wall 1/4,Anson Maddocks,Wall of Bone,Uncommon
BB,Enchant Artifact,Amy Weber,Warp Artifact,Rare
B,Enchant Creature,Douglas Schuler,Weakness,Common
B,Summon Will-O'-The-Wisp 0/1,Jesper Myrfors,Will-O'-The-Wisp,Rare
BB,Instant,Jesper Myrfors,Word of Command,Rare
1BB,Summon Lord 2/3,Jeff A. Menges,Zombie Master,Rare
3UU,Summon Elemental 4/4,Richard Thomas,Air Elemental,Uncommon
U,Instant,Mark Poole,Ancestral Recall,Rare
3U,Enchant Non-Creature Artifact,Douglas Schuler,Animate Artifact,Uncommon
2B,Summon Rats */*,Anson Maddocks,Plague Rats,Common
B,Sorcery,Jeff A. Menges,Raise Dead,Common
1BB,Summon Assassin 1/1,Tom Wänerstrand,Royal Assassin,Rare
B,Interrupt,Dan Frazier,Sacrifice,Uncommon
2B,Summon Zombies 2/2,Jesper Myrfors,Scathe Zombies,Common
3B,Summon Ghoul 2/2,Jeff A. Menges,Scavenging Ghoul,Uncommon
3BB,Summon Vampire 4/4,Anson Maddocks,Sengir Vampire,Uncommon
1B,Instant,Mark Poole,Simulacrum,Uncommon
2B,Enchantment,Dan Frazier,Gloom,Uncommon
XB,Instant,Mark Poole,Howl from Beyond,Common
1BB,Summon Specter 2/2,Douglas Schuler,Hypnotic Specter,Uncommon
BBBB,Enchantment,Daniel Gelon,Lich,Rare
4BBB,Summon Demon 7/7,Mark Tedin,Lord of the Pit,Rare
XB,Sorcery,Julie Baroh,Mind Twist,Rare
BB,Summon Shadow 1/1,Christopher Rush,Nether Shadow,Rare
2B,Summon Imp 1/1,Quinton Hoover,Nettling Imp,Uncommon
1W,Enchantment,Mark Poole,Island Sanctuary,Rare
2W,Instant,Bradley Williams,Just Fate,Common
3W,Enchantment,Kaja Foglio,Kismet,Rare
1WW,Sorcery,Alan Rabinowitz,Leeches,Rare
WW,Sorcery,Jeff A. Menges,Martyr's Cry,Rare
3WW,Creature — Human 1/6,Margaret Organ-Kean,Martyrs of Korlis,Uncommon
1W,Creature — Bird 1/1,Dan Frazier,Osai Vultures,Common
3WWW,Creature — Avatar Incarnation 6/6,Kev Brockschmidt,Personal Incarnation,Rare
2W,Creature — Human Soldier Archer 1/2,Douglas Shuler,D'Avenant Archer,Common
1W,Instant,Amy Weber,Disenchant,Common
6WW,Enchantment,Anthony S. Waters,Divine Intervention,Rare
2W,Instant,Shang Huitong,Eightfold Maze,Uncommon
WW,Creature — Human Cleric 1/1,Drew Tucker,Exorcist,Uncommon
3W,Sorcery,Li Wang,False Defeat,Uncommon
3WW,Legendary Creature — Human Soldier Warrior 3/5,Qiao Dafu,"Guan Yu, Sainted Warrior",Uncommon
4WW,Sorcery,Yang Guangmai,"Guan Yu's 1,000-Li March",Rare
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      245 cards
    ",,,
,,,,
2WWW,Creature — Gargoyle 3/4,Christopher Rush,Abbey Gargoyles,Uncommon
4WW,Creature — Angel 3/5,Keith Parkinson,Angel of Fury,Rare
4W,Creature — Angel 3/3,Todd Lockwood,Angel of Light,Uncommon
W,Enchantment — Aura,Anson Maddocks,Armor of Faith,Common
3W,Creature — Griffin 2/3,Bradley Williams,Armored Griffin,Common
3BR,Sorcery,Drew Tucker,Fumarole,Uncommon
BR,Enchantment,Randy Gallegos,Ghostly Flame,Rare
1RG,Summon Spider 2/3,Heather Hudson,Giant Trap Door Spider,Uncommon
2WU,Enchantment,Mark Tedin,Glaciers,Rare
3WG,Sorcery,Richard Kane Ferguson,Hymn of Rebirth,Uncommon
3WG,Summon Frostbeast 2/4,Mark Poole,Kjeldoran Frostbeast,Uncommon
WUB,Summon Legend 1/1,Heather Hudson,Merieke Ri Berit,Rare
,Basic Land — Swamp,John Avon,Swamp,Land
,Basic Land — Mountain,Mark Tedin,Mountain,Land
,Basic Land — Mountain,Rob Alexander,Mountain,Land
,Basic Land — Mountain,Martina Pilcerova,Mountain,Land
,Basic Land — Mountain,John Avon,Mountain,Land
,Basic Land — Forest,Mark Tedin,Forest,Land
,Basic Land — Forest,Rob Alexander,Forest,Land
,Basic Land — Forest,Martina Pilcerova,Forest,Land
,Land,Rob Alexander,Wooded Foothills,Rare
,Land,Rob Alexander,Plains,Land
,Land,Matthew Mitchell,Plains,Land
,Land,David Martin,Plains,Land
,Land,David Day,Plains,Land
,Land,Tony Szczudlo,Island,Land
,Land,Bradley Williams,Island,Land
,Land,Matt Thompson,Island,Land
GGG,Creature — Centaur Druid Legend 2/2,Greg Staples,"Seton, Krosan Protector",Rare
2G,Enchant Creature,Ciruelo,Seton's Desire,Common
G,Sorcery,Greg &amp; Tim Hildebrandt,Simplify,Common
1G,Creature — Centaur 1/2,Jerry Tiritilli,Skyshooter,Uncommon
2G,Creature — Centaur 3/2,Rick Farrell,Spellbane Centaur,Rare
3G,Creature — Cat 3/3,Arnie Swekel,Springing Tiger,Common
1GG,Creature — Squirrel 2/2,Carl Critchlow,Squirrel Mob,Rare
2WU,Instant,Pete Venters,Reviving Vapors,Uncommon
1WU,Creature — Crab 1/3,David Martin,Riptide Crab,Uncommon
3WRG,Creature — Dragon Legend 6/6,Carl Critchlow,"Rith, the Awakener",Rare
4WG,Creature — Beast 5/5,Gary Ruddell,Sabertooth Nishoba,Rare
1WU,Creature — Cleric 1/1,Scott M. Fischer,Samite Archer,Uncommon
2UB,Enchantment,Rebecca Guay,Seer's Vision,Uncommon
BR,Creature — Barbarian Zombie 2/2,Tony Szczudlo,Shivan Zombie,Common
RG,Instant,Tony Szczudlo,Simoon,Uncommon
1GG,Enchant Creature,DiTerlizzi,Lure,Uncommon
2G,Creature — Beast 4/4,Paolo Parente,Megatherium,Rare
2G,Instant,Pete Venters,Natural Affinity,Rare
2GG,Creature — Lizard 6/6,Mark Tedin,Pangosaur,Rare
1G,Sorcery,Matthew Wilson,Revive,Uncommon
1G,Creature — Dryad 2/1,Todd Lockwood,Rushwood Dryad,Common
GGGGG,Creature — Elemental 4/4,Hannibal King,Rushwood Elemental,Rare
2G,Creature — Spellshaper 2/2,Terese Nielsen,Rushwood Herbalist,Common
1R,Summon Goblin 4/4,Mike Raabe,Okk,Rare
XR,Instant,Greg Staples,Outmaneuver,Uncommon
4RR,Sorcery,Adam Rex,Rain of Salt,Uncommon
R,Sorcery,Mike Raabe,Raze,Common
R,Enchant Creature,Steve White,Reflexes,Common
2RR,Summon Viashino 3/3,Robh Ruppel,Retromancer,Common
3RR,Enchantment,Lawrence Snelly,Rumbling Crescendo,Rare
1R,Enchantment,Adam Rex,Scald,Uncommon
4R,Summon Wurm 7/7,Steve Firchow,Scoria Wurm,Rare
W,Instant,Eric David Anderson,Anoint,Common
2W,Summon Sliver 2/2,Scott Kirschner,Armor Sliver,Uncommon
1W,Summon Pegasus 1/2,Una Fricker,Armored Pegasus,Common
1W,Summon Atog 1/2,Jeff Miracola,Auratog,Rare
3WW,Summon Angel 3/3,Matthew Wilson,Avenging Angel,Rare
1W,Enchantment,Harold McNeill,Circle of Protection: Black,Common
1W,Enchantment,Harold McNeill,Circle of Protection: Blue,Common
1W,Enchantment,Harold McNeill,Circle of Protection: Green,Common
4,Artifact,Kaja Foglio,Teferi's Puzzle Box,Rare
4,Artifact Creature 2/2,Mike Dringenberg,Tin-Wing Chimera,Uncommon
1,Artifact,Ian Miller,Triangle of War,Rare
2,Artifact,Steve Luke,Wand of Denial,Rare
,Land,John Avon,Coral Atoll,Uncommon
,Land,John Avon,Dormant Volcano,Uncommon
,Land,Bob Eggleton,Everglades,Uncommon
,Land,Stuart Griffin,Griffin Canyon,Rare
2RR,Instant,John Coulthart,Blind Fury,Uncommon
2R,Summon Wall 5/2,David Ho,Blistering Barrier,Common
XXR,Sorcery,Charles Gillespie,Builder's Bane,Common
2RR,Summon Efreet 2/2,Dermot Power,Burning Palm Efreet,Uncommon
2R,Summon Knight 2/2,Dan Frazier,Burning Shield Askari,Common
R,Instant,Steve Luke,Chaos Charm,Common
2R,Enchant World,Steve Luke,Chaosphere,Rare
3RR,Instant,JOCK,Cinder Cloud,Uncommon
W,Summon Cleric 1/1,Drew Tucker,Icatian Priest,Uncommon (U3)
W,Summon Soldier 1/1,Richard Kane Ferguson,Icatian Scout,Common (C1)
W,Summon Soldier 1/1,Douglas Shuler,Icatian Scout,Common (C1)
W,Summon Soldier 1/1,Rob Alexander,Icatian Scout,Common (C1)
W,Summon Soldier 1/1,Phil Foglio,Icatian Scout,Common (C1)
3W,Summon Soldiers 1/1,Heather Hudson,Icatian Skirmishers,Rare (U1)
5W,Sorcery,Tom Wänerstrand,Icatian Town,Rare (U1)
WW,Summon Clerics 2/1,Bryon Wackwitz,Order of Leitbur,Common (C1)
1R,Summon Taskmaster 1/2,Randy Asplund-Faith,Kobold Taskmaster,Uncommon (U1)
1RR,Enchant World,Brian Snõddy,Land's Edge,Rare (R1)
2RR,Summon Yeti 3/3,Dan Frazier,Mountain Yeti,Uncommon (U1)
R,Summon Ooze 1/1,Sandra Everingham,Primordial Ooze,Uncommon (U1)
4R,Sorcery,Anson Maddocks,Pyrotechnics,Common (C2)
3R,Summon Gnomes 1/1,Dan Frazier,Quarum Trench Gnomes,Rare (R1)
2R,Summon Bull 2/2,Randy Asplund-Faith,Raging Bull,Common (C1)
2R,Summon Villain 1/2,Anson Maddocks,Spinal Villain,Rare (R1)
2RR,Creature — Minotaur Warrior 3/3,Wayne Reynolds,Gorehorn Minotaurs,Common
R,Creature — Human Wizard 1/1,Michael Sutfin,Grim Lavamancer,Rare
1R,Instant,Zoltan Boros &amp; Gabor Szikszai,Incinerate,Common
4RR,Creature — Giant 6/6,Kev Walker,Inferno Titan,Mythic Rare
4R,Sorcery,Brian Snoddy,Lava Axe,Common
3R,Creature — Elemental 4/1,Kev Walker,Lightning Elemental,Common
3R,Enchantment,Jeff Miracola,Manabarbs,Rare
2R,Creature — Human Warrior 2/2,Christopher Moeller,Manic Vandal,Common
5B,Sorcery,Dave Allsop,Corrupt,Uncommon
2B,Enchantment,James Ryman,Dark Tutelage,Rare
B,Sorcery,Steven Belledin,Deathmark,Uncommon
6BBB,Creature — Demon 9/9,Vance Kovacs,Demon of Death's Gate,Mythic Rare
2BB,Sorcery,Greg Staples,Diabolic Tutor,Uncommon
B,Sorcery,Alex Horley-Orlandelli,Disentomb,Common
1B,Instant,Chippy,Doom Blade,Common
B,Sorcery,Steven Belledin,Duress,Common
B,Creature — Human Cleric 0/1,Chris Rahn,Acolyte of Xathrid,Common
2B,Sorcery,Kev Walker,Assassinate,Common
BB,Creature — Human Knight 2/2,Christopher Moeller,Black Knight,Uncommon
3B,Creature — Wraith 3/3,Daarken,Bog Wraith,Uncommon
1BB,Creature — Zombie 2/2,Dave Allsop,Cemetery Reaper,Rare
1B,Creature — Vampire 2/1,Ash Wood,Child of Night,Common
X1B,Sorcery,Justin Sweet,Consume Spirit,Uncommon
B,Sorcery,Steven Belledin,Deathmark,Uncommon
B,Creature — Zombie Goblin 1/1,Thomas M. Baxa,Festering Goblin,Common
3BB,Sorcery,Matt Thompson,Final Punishment,Rare
BB,Creature — Imp 2/2,Kev Walker,Foul Imp,Common
3B,Creature — Insect 4/2,Heather Hudson,Giant Cockroach,Common
4B,Creature — Zombie 3/3,Thomas M. Baxa,Gluttonous Zombie,Uncommon
1BBB,Enchantment,Puddnhead,Grave Pact,Rare
3B,Creature — Zombie 2/2,Dermot Power,Gravedigger,Common
3B,Creature — Horror 1/1,Greg Staples,Hell's Caretaker,Rare
UU,Instant,Arnie Swekel,Boomerang,Common
1UU,Instant,Mark Poole,Cancel,Common
1UU,Creature — Cephalid Wizard 1/1,Alan Pollack,Cephalid Constable,Rare
3U,Creature — Shapeshifter 0/0,Kev Walker,Clone,Rare
2U,Creature — Elemental 2/3,Michael Sutfin,Cloud Elemental,Common
U,Creature — Faerie 1/1,Mark Zug,Cloud Sprite,Common
2U,Sorcery,Randy Gallegos,Counsel of the Soratami,Common
2U,Creature — Human Wizard 1/1,Wayne England,Crafty Pathmage,Common
U,Sorcery,Kev Walker,Index,Common
3U,Instant,Matt Cavotta,Inspiration,Common
2U,Enchantment,Luca Zontini,Intruder Alarm,Rare
UU,Enchant Creature,Pete Venters,Invisibility,Uncommon
4UU,Creature — Djinn 5/6,Eric Peterson,Mahamoti Djinn,Rare
1U,Instant,Christopher Rush,Mana Leak,Common
2U,Creature — Wizard 1/1,Greg Hildebrandt,Merchant of Secrets,Common
1U,Sorcery,David Martin,Merchant Scroll,Uncommon
1UU,Creature — Illusion 2/2,Greg Staples,Phantom Warrior,Uncommon
2U,Creature — Wizard 1/1,Tony Szczudlo,Prodigal Sorcerer,Common
1U,Instant,Adam Rex,Remove Soul,Common
1U,Creature — Bird 1/1,Mark Brill,Sage Owl,Common
4UU,Creature — Serpent 6/6,John Howe,Sea Monster,Common
U,Sorcery,Christopher Moeller,Sleight of Hand,Common
2UU,Enchant Artifact,Peter Bollinger,Steal Artifact,Uncommon
1U,Creature — Bird 1/2,John Matson,Storm Crow,Common
2UU,Sorcery,L. A. Williams,Diminishing Returns,Rare
2U,Sorcery,D. Alexander Gregory,Dream Cache,Common
1U,Instant,David Ho,Flash,Rare
U,Enchant Creature,Jerry Tiritilli,Flight,Common
2U,Creature — Elemental 4/4,Jon J. Muth,Fog Elemental,Common
UU,Sorcery,Mike Kimble,Forget,Rare
2U,Enchant Creature,Roger Raupp,Gaseous Form,Common
2U,Creature — Wall 0/7,Dameon Willich,Glacial Wall,Uncommon
3BB,Summon Wretched 2/5,Christopher Rush,The Wretched,Rare
B,Enchant Creature,Ron Spencer,Thrull Retainer,Uncommon
B,Enchant Creature,Mark Tedin,Torture,Common
2B,Sorcery,Melissa A. Benson,Touch of Death,Common
B,Enchant Creature,Tom Kyffin,Unholy Strength,Common
B,Summon Bats 0/1,Anson Maddocks,Vampire Bats,Common
2B,Summon Wall 1/4,Anson Maddocks,Wall of Bone,Uncommon
BB,Enchant Artifact,Amy Weber,Warp Artifact,Rare
B,Summon Will-O'-The-Wisp 0/1,Jesper Myrfors,Will-O'-The-Wisp,Rare
1BB,Summon Lord 2/3,Jeff A. Menges,Zombie Master,Rare
3UU,Summon Elemental 4/4,Richard Thomas,Air Elemental,Uncommon
3U,Enchant Artifact,Douglas Shuler,Animate Artifact,Uncommon
U,Interrupt,Richard Thomas,Blue Elemental Blast,Common
XUU,Sorcery,Mark Tedin,Braingeyser,Rare
3U,Summon Clone 0/0,Julie Baroh,Clone,Uncommon
2UU,Enchant Creature,Dameon Willich,Control Magic,Uncommon
3UU,Summon Elemental 4/4,Richard Thomas,Air Elemental,Uncommon
3U,Enchant Artifact,Douglas Shuler,Animate Artifact,Uncommon
1UU,Summon Wizard 0/1,Dan Frazier,Apprentice Wizard,Common
U,Enchant Creature,Brian Snõddy,Backfire,Uncommon
U,Interrupt,Richard Thomas,Blue Elemental Blast,Common
2UU,Enchant Creature,Dameon Willich,Control Magic,Uncommon
UU,Interrupt,Mark Poole,Counterspell,Uncommon
1U,Enchant Creature,Anson Maddocks,Creature Bond,Common
U,Interrupt,Richard Thomas,Blue Elemental Blast,Common
XUU,Sorcery,Mark Tedin,Braingeyser,Rare
3U,Summon Clone 0/0,Julie Baroh,Clone,Uncommon
2UU,Enchant Creature,Dameon Willich,Control Magic,Uncommon
1U,Enchantment,Amy Weber,Copy Artifact,Rare
UU,Interrupt,Mark Poole,Counterspell,Uncommon
1U,Enchant Creature,Anson Maddocks,Creature Bond,Common
UU,Sorcery,Douglas Schuler,Drain Power,Rare
BB,Sorcery,Sandra Everingham,Sinkhole,Common
1B,Instant,Ron Spencer,Terror,Common
B,Enchant Creature,Douglas Schuler,Unholy Strength,Common
2B,Summon Wall 1/4,Anson Maddocks,Wall of Bone,Uncommon
BB,Enchant Artifact,Amy Weber,Warp Artifact,Rare
B,Enchant Creature,Douglas Schuler,Weakness,Common
B,Summon Will-O'-The-Wisp 0/1,Jesper Myrfors,Will-O'-The-Wisp,Rare
BB,Instant,Jesper Myrfors,Word of Command,Rare
5B,Summon Nightmare */*,Melissa Benson,Nightmare,Rare
B,Enchant Creature,Anson Maddocks,Paralyze,Common
2BB,Enchantment,Jesper Myrfors,Pestilence,Common
2B,Summon Rats */*,Anson Maddocks,Plague Rats,Common
B,Sorcery,Jeff A. Menges,Raise Dead,Common
1BB,Summon Assassin 1/1,Tom Wänerstrand,Royal Assassin,Rare
B,Interrupt,Dan Frazier,Sacrifice,Uncommon
2B,Summon Zombies 2/2,Jesper Myrfors,Scathe Zombies,Common
1WW,Sorcery,Jeffrey R. Busch,Righteous Charge,Common
W,Creature — Cat 2/1,Daniel Gelon,Savannah Lions,Uncommon
3WW,Creature — Angel 4/4,Douglas Shuler,Serra Angel,Uncommon
3W,World Enchantment,Nicola Leonard,Serra Aviary,Uncommon
WW,Enchantment — Aura,Steve Luke,Serra Bestiary,Common
3W,Creature — Griffin 2/3,William Simpson,Spotted Griffin,Common
3WW,Creature — Human Soldier 2/3,Mark Tedin,Steam Catapult,Rare
W,Instant,Jeff A. Menges,Swords to Plowshares,Uncommon
W,Instant,Mark Tedin,Heal,Common
4WW,Creature — Giant Cleric 3/3,Melissa A. Benson,Ivory Guardians,Uncommon
2WW,Legendary Creature — Human Advisor 2/2,Gao Yan,"Kongming, “Sleeping Dragon”",Rare
W,Enchantment,Brian Snõddy,Land Tax,Rare
1W,Instant,Harold McNeill,Lightning Blow,Common
3WW,Legendary Creature — Human Soldier 2/4,Qiao Dafu,"Liu Bei, Lord of Shu",Rare
2W,Creature — Human Advisor 1/1,Solomon Au Yeung,Loyal Retainers,Uncommon
3W,Sorcery,Jiaming,Misfortune's Gain,Common
1W,Creature — Human Advisor 1/1,Alan Rabinowitz,Aysen Bureaucrats,Common
2WW,Creature — Human Knight 2+*/2+*,NéNé Thomas,Aysen Crusader,Uncommon
2WW,Enchantment — Aura,Ruth Thompson,Caribou Range,Rare
2W,Creature — Human Soldier 0/2,Anson Maddocks,Combat Medic,Common
1W,Instant,Brian Snõddy,Disenchant,Common
1W,Enchantment,Sandra Everingham,Energy Storm,Rare
1W,Instant,Julie Baroh,Errand of Duty,Uncommon
2W,Enchantment — Aura,Anthony S. Waters,Farrel's Mantle,Uncommon
1WW,Creature — Human 2/2,Richard Kane Ferguson,Farrel's Zealot,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      30 cards
    ",,,
,,,,
B,Creature — Zombie Imp 1/1,Wayne England,Putrid Imp,Common
1BB,Creature — Horror 4/4,Brom,Hidden Horror,Uncommon
2BB,Creature — Nightmare Horror 2/3,Daren Bader,Faceless Butcher,Common
5B,Creature — Zombie Mutant 5/3,Daren Bader,Twisted Abomination,Common
3UBR,Legendary Creature — Dragon 6/6,Chris Rahn,"Crosis, the Purger",Rare
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      195 cards
    ",,,
,,,,
2WW,Creature — Human 2+*/2+*,Drew Tucker,Angry Mob,Uncommon
W,Enchantment — Aura,Dan Frazier,Animate Wall,Uncommon
1WW,Creature — Human Artificer 1/1,Amy Weber,Argivian Archaeologist,Rare
3W,Sorcery,Jesper Myrfors,Armageddon,Rare
W,Creature — Human Soldier 1/1,Douglas Shuler,Benalish Hero,Common
2RG,Enchantment,NéNé Thomas,Monsoon,Rare
2BR,Summon Titan 2/2,Melissa Benson,Mountain Titan,Rare
2WG,Enchantment,Dameon Willich,Reclamation,Rare
3UB,Summon Legend 0/3,Amy Weber &amp; Tom Wänerstrand,Skeleton Ship,Rare
1WU,Enchant Creature,Margaret Organ-Kean,Spectral Shield,Uncommon
3WUG,Summon Spirit 3/3,Pete Venters,Storm Spirit,Rare
1RG,Enchantment,NéNé Thomas &amp; Phillip Mosness,Stormbind,Rare
WU,Enchant Creature,"Edward Beard, Jr.",Wings of Aesthir,Uncommon
,Basic Land — Forest,John Avon,Forest,Land
,"
      306 cards
    ",,,
,Land,Randy Elliott,Island,Land
,Land,Tony Szczudlo,Swamp,Land
,Land,Doug Chaffee,Swamp,Land
,Land,Dan Frazier,Swamp,Land
,Land,Pete Venters,Swamp,Land
,Land,Tony Szczudlo,Mountain,Land
,Land,Sam Wood,Mountain,Land
,Land,David Day,Mountain,Land
1GG,Enchant Land,Anthony S. Waters,Squirrel Nest,Uncommon
1GG,Enchantment,Matt Cavotta,Still Life,Uncommon
4GGG,Creature — Basilisk 4/5,Wayne England,Stone-Tongue Basilisk,Rare
1G,Instant,Arnie Swekel,Sylvan Might,Uncommon
1GG,Creature — Lhurgoyf */*,Jim Nelson,Terravore,Rare
2G,Creature — Insect 2/2,Carl Critchlow,Twigwalker,Uncommon
4G,Enchantment,"Edward P. Beard, Jr.",Verdant Succession,Rare
2G,Instant,Greg Staples,Vivify,Uncommon
UB,Enchant Creature,Alan Pollack,Sleeper's Robe,Uncommon
2UB,Creature — Serpent 2/3,Wayne England,Slinking Serpent,Uncommon
2BR,Enchantment,David Day,Smoldering Tar,Uncommon
3UUB,Instant,Donato Giancola,Spinal Embrace,Rare
1UB,Creature — Assassin 1/1,Dana Knutson,Stalking Assassin,Rare
WG,Enchantment,Jeff Miracola,Sterling Grove,Uncommon
3WU,Enchantment,rk post,Teferi's Moat,Rare
3WUG,Creature — Dragon Legend 6/6,Ciruelo,"Treva, the Renewer",Rare
2G,Creature — Dryad 2/1,Mark Romanoski,Rushwood Legate,Uncommon
3G,Creature — Insect 2/3,Greg Staples,Saber Ants,Uncommon
G,Creature — Beast 1/1,Rebecca Guay,Sacred Prey,Common
4G,Creature — Elemental 4/4,Chippy,Silverglade Elemental,Common
1G,Creature — Spellshaper 1/1,rk post,Silverglade Pathfinder,Uncommon
3G,Enchantment,Carl Critchlow,Snake Pit,Uncommon
2GG,Creature — Beast 3/3,Andrew Goldhawk,Snorting Gahr,Common
2G,Enchantment,Scott Hampton,Spidersilk Armor,Common
2R,Instant,Donato Giancola,Scrap,Common
5RR,Summon Dragon 5/5,Bob Eggleton,Shivan Hellkite,Rare
2R,Summon Lizard 3/1,Bob Eggleton,Shivan Raptor,Uncommon
2RR,Enchant Creature,Bob Eggleton,Shiv's Embrace,Uncommon
R,Instant,Christopher Moeller,Shower of Sparks,Common
3R,Enchantment,Jerry Tiritilli,Sneak Attack,Rare
2R,Sorcery,Mike Raabe,Steam Blast,Uncommon
3R,Enchantment,Lawrence Snelly,Sulfuric Vapors,Rare
1W,Enchantment,Harold McNeill,Circle of Protection: Red,Common
1W,Enchantment,Harold McNeill,Circle of Protection: Shadow,Common
1W,Enchantment,Harold McNeill,Circle of Protection: White,Common
1W,Summon Cleric 1/1,Heather Hudson,Clergy en-Vec,Common
3W,Summon Bird 2/2,Una Fricker,Cloudchaser Eagle,Common
1W,Instant,L. A. Williams,Disenchant,Common
2W,Summon Soldier 2/2,Mark Poole,Elite Javelineer,Common
2WW,Enchantment,Richard Kane Ferguson,Field of Souls,Rare
,Land,John Avon,Jungle Basin,Uncommon
,Land,Zina Saunders,Karoo,Uncommon
,Land,Roger Raupp,Quicksand,Uncommon
,Land,David O'Connor,Undiscovered Paradise,Rare
,"
      167 cards
    ",,,
1R,Enchant Creature,Scott Kirschner,Consuming Ferocity,Uncommon
6RRR,Summon Dragon 6/6,Gerry Grace,Crimson Hellkite,Rare
4R,Summon Roc 2/2,Ian Miller,Crimson Roc,Uncommon
1R,Summon Dwarf 1/2,JOCK,Dwarven Miner,Uncommon
2R,Summon Dwarf 1/1,Mike Kimble,Dwarven Nomad,Common
3R,Summon Cyclops 3/4,Robert Bliss,Ekundu Cyclops,Common
2RR,Summon Djinn 5/4,Mike Dringenberg,Emberwilde Djinn,Rare
RR,Instant,D. Alexander Gregory,Final Fortune,Rare
WW,Summon Clerics 2/1,Bryon Wackwitz,Order of Leitbur,Common (C1)
WW,Summon Clerics 2/1,Randy Asplund-Faith,Order of Leitbur,Common (C1)
2,Artifact,Heather Hudson,Aeolipile,Rare (U1)
2,Artifact,Margaret Organ-Kean,Balm of Restoration,Rare (U1)
2,Artifact,Phil Foglio,Conch Horn,Rare (U1)
0,Artifact,Mark Tedin,Delif's Cone,Uncommon (C1)
1,Artifact,Mark Tedin,Delif's Cube,Rare (U1)
3,Artifact,"Edward Beard, Jr.",Draconian Cylix,Rare (U1)
R,Enchant World,Christopher Rush,Storm World,Rare (R1)
1RRR,Summon Efreet 3/3,NéNé Thomas,Tempest Efreet,Rare (R1)
1R,Enchant Creature,Mark Poole,The Brute,Common (C1)
2R,Summon Wall 1/4,Richard Thomas,Wall of Dust,Uncommon (U1)
1R,Summon Wall 0/6,Richard Thomas,Wall of Earth,Common (C2)
2R,Summon Wall 2/6,Richard Thomas,Wall of Heat,Common (C1)
3RR,Summon Wall 0/6,Harold McNeill,Wall of Opposition,Rare (R1)
R,Sorcery,Justin Hampton,Winds of Change,Uncommon (U1)
RR,Instant,jD,Reverberate,Rare
6RR,Sorcery,Dan Scott,Scrambleverse,Rare
R,Instant,Jon Foster,Shock,Common
2R,Instant,Matt Cavotta,Slaughter Cry,Common
